rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.05,336,827,-473.26019999999994,742181,896,2186.05,0.039698269218206406,0.0001,173045
0.05,340,838,-470.65009999999995,750881,895,2184.39,0.06323366612195969,0.0001,175220
0.05,344,848,-469.62469999999996,759518,894,2184.07,0.019692309200763702,0.0001,177379
0.05,348,859,-466.7326000000001,768365,893,2183.24,0.027677621692419052,0.0001,179591
0.05,352,870,-465.20950000000005,777090,893,2183.18,0.04785766080021858,0.0001,181772
0.05,356,881,-464.4990000000001,785845,891,2184.69,0.04017651081085205,0.0001,183961
0.05,360,891,-465.67079999999993,794645,891,2185.06,0.020582040771842003,0.0001,186161
0.05,364,902,-464.5877,803266,890,2185.38,0.0392819382250309,0.0001,188316
0.05,368,912,-464.6633,812134,889,2188.02,0.022586669772863388,0.0001,190533
0.05,372,923,-463.54850000000005,820859,889,2186.47,0.037132810801267624,0.0001,192714
0.05,376,933,-463.4504,829801,888,2187.69,0.05769365280866623,0.0001,194950
0.05,380,944,-464.7324,838659,887,2189.31,0.03633642941713333,0.0001,197164
0.05,384,954,-464.41309999999993,847405,887,2190.5,0.032789990305900574,0.0001,199351
0.05,388,965,-464.11100000000005,856133,886,2190.14,0.049966659396886826,0.0001,201533
0.05,392,975,-463.81949999999995,864857,886,2190.1,0.4100566804409027,0.0001,203714
0.05,396,986,-461.34310000000005,873541,885,2187.53,0.03164413198828697,0.0001,205885
0.05,400,996,-458.8891000000001,882206,884,2184.87,0.07433344423770905,0.0001,208051
0.05,404,1007,-459.4878,890977,884,2186.13,0.03751571103930473,0.0001,210244
0.05,408,1018,-459.92580000000004,899783,883,2186.46,0.05775561183691025,0.0001,212445
0.05,412,1029,-459.0547000000001,908756,882,2187.78,0.05646098032593727,0.0001,214688
0.05,416,1040,-458.67619999999994,917529,882,2188.5,0.02633986994624138,0.0001,216882
0.05,420,1050,-458.10650000000004,926177,881,2188.99,0.04149841517210007,0.0001,219044
0.05,424,1061,-458.732,934970,881,2189.99,0.018386058509349823,0.0001,221242
0.05,428,1071,-457.7842,943678,880,2189.78,0.028272435069084167,0.0001,223419
0.05,432,1082,-457.7716,952410,880,2188.99,0.05193988233804703,0.0001,225602
0.05,436,1092,-458.21619999999996,961116,879,2189.35,0.0619397908449173,0.0001,227778
0.05,440,1103,-459.7411000000001,969857,879,2189.76,0.05415579304099083,0.0001,229964
0.05,444,1113,-460.3992000000001,978652,878,2191.34,0.039620280265808105,0.0001,232162
0.05,448,1124,-459.7091,987293,878,2189.28,0.04506979510188103,0.0001,234323
0.05,452,1134,-459.61629999999997,995938,877,2188.48,0.04731443524360657,0.0001,236484
