rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/learning_rate,train/loss
2128.23,396,845635,0.05,-78.4777,44,19074,911408,0.0001,0.028023576363921165
2129.87,400,854269,0.05,-78.1086,44,19270,913567,0.0001,0.01921737566590309
2129.46,404,862821,0.05,-77.44030000000001,44,19466,915705,0.0001,0.057414159178733826
2129.72,408,871323,0.05,-76.4265,44,19659,917830,0.0001,0.06896792352199554
2130.42,412,879982,0.05,-74.90680000000002,44,19857,919995,0.0001,0.0683254525065422
2132.08,416,888593,0.05,-74.4641,44,20051,922148,0.0001,0.05254153162240982
2133.47,420,897189,0.05,-73.45890000000001,44,20248,924297,0.0001,0.03497080132365227
2133.49,424,905642,0.05,-73.725,44,20440,926410,0.0001,0.01992977410554886
2134.61,428,914238,0.05,-73.7769,44,20638,928559,0.0001,0.03849746286869049
2135.65,432,922784,0.05,-73.4554,44,20833,930695,0.0001,0.03896826133131981
2134.45,436,931297,0.05,-72.7716,44,21025,932824,0.0001,0.045477449893951416
2133.81,440,939659,0.05,-71.89249999999998,44,21215,934914,0.0001,0.032675355672836304
2133.64,444,948150,0.05,-72.00869999999999,44,21410,937037,0.0001,0.05663939565420151
2132.29,448,956638,0.05,-72.25200000000001,44,21599,939159,0.0001,0.08880599588155746
2133.2,452,965239,0.05,-72.75070000000001,44,21798,941309,0.0001,0.22653859853744507
2131.75,456,973650,0.05,-72.30709999999999,44,21989,943412,0.0001,0.03854738175868988
2130.86,460,982180,0.05,-72.43620000000001,44,22184,945544,0.0001,0.07869195938110352
2131.05,464,990641,0.05,-72.9193,44,22377,947660,0.0001,0.03652532026171684
2130.13,468,999177,0.05,-72.3581,44,22566,949794,0.0001,0.037058763206005096
