rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/loss
-515.788,498,471449,0.05,2202.48,212,945,0.0001,105362,0.03528494015336037
-511.63560000000007,509,480211,0.05,2201.8,216,942,0.0001,107552,0.02892150543630123
-507.70529999999997,520,488883,0.05,2200.88,220,939,0.0001,109720,0.03953225910663605
-504.98210000000006,531,497619,0.05,2199.56,224,936,0.0001,111904,0.020063158124685287
-500.62100000000015,542,506421,0.05,2198.76,228,934,0.0001,114105,0.02666945569217205
-497.348,552,515062,0.05,2196.85,232,932,0.0001,116265,0.035360392183065414
-492.9914999999999,563,523787,0.05,2194.03,236,929,0.0001,118446,0.02305900678038597
-490.5957,573,532590,0.05,2194.22,240,927,0.0001,120647,0.028203222900629044
-488.4249,584,541273,0.05,2193.09,244,926,0.0001,122818,0.022597039118409157
-484.6941999999999,594,549936,0.05,2191.19,248,924,0.0001,124983,0.33463338017463684
-482.09259999999995,605,558657,0.05,2191.68,252,922,0.0001,127164,0.026709627360105515
-480.97119999999995,615,567517,0.05,2191.96,256,921,0.0001,129379,0.03238403797149658
-479.64889999999997,626,576406,0.05,2193.07,260,919,0.0001,131601,0.03441052883863449
-476.4423999999999,637,584967,0.05,2190.83,264,918,0.0001,133741,0.06767009943723679
-472.88269999999994,647,593604,0.05,2188.96,268,916,0.0001,135900,0.02943473495543003
-470.19870000000003,658,602272,0.05,2187.66,272,915,0.0001,138067,0.029007870703935623
-467.1006999999999,668,610907,0.05,2186.06,276,913,0.0001,140226,0.05764669552445412
-467.30379999999997,679,619795,0.05,2187.17,280,912,0.0001,142448,0.04558062553405762
-466.485,689,628646,0.05,2188.53,284,911,0.0001,144661,0.04256928712129593
-466.0967,700,637369,0.05,2188.5,288,909,0.0001,146842,0.044774096459150314
-464.2221,711,646021,0.05,2186.97,292,908,0.0001,149005,0.02753901109099388
-461.11780000000005,721,654683,0.05,2185.76,296,907,0.0001,151170,0.05363858491182327
-459.0403999999999,732,663557,0.05,2185.74,300,906,0.0001,153389,0.04801692068576813
-457.0552,742,672306,0.05,2184.0,304,905,0.0001,155576,0.04024656116962433
-455.1017,753,680953,0.05,2182.77,308,904,0.0001,157738,0.028414040803909302
-452.5959999999999,763,689627,0.05,2181.78,312,903,0.0001,159906,0.03886604309082031
-451.61490000000003,774,698395,0.05,2181.84,316,902,0.0001,162098,0.03171933814883232
-451.31820000000005,784,707032,0.05,2181.49,320,901,0.0001,164257,0.04930681735277176
-449.2107,795,715749,0.05,2181.3,324,900,0.0001,166437,0.022725429385900497
-447.5993000000001,805,724354,0.05,2179.33,328,899,0.0001,168588,0.037946052849292755
-446.1843999999999,815,732976,0.05,2179.14,332,898,0.0001,170743,0.04279187694191933
-445.2695999999999,826,741723,0.05,2179.36,336,897,0.0001,172930,0.04202478751540184
-444.7063,837,750528,0.05,2179.38,340,896,0.0001,175131,0.06233380362391472
-442.6988999999999,847,759150,0.05,2178.77,344,895,0.0001,177287,0.04475557804107666
-441.5860000000001,858,767884,0.05,2179.48,348,894,0.0001,179470,0.032134342938661575
-441.0494000000001,868,776499,0.05,2178.42,352,893,0.0001,181624,0.057391926646232605
-438.8295999999999,879,785162,0.05,2176.45,356,892,0.0001,183790,0.03314714878797531
-437.62170000000015,890,793920,0.05,2175.14,360,891,0.0001,185979,0.03442465513944626
-438.16239999999993,900,802721,0.05,2177.54,364,891,0.0001,188180,0.042540572583675385
-437.20630000000006,911,811346,0.05,2177.42,368,890,0.0001,190336,0.0818043202161789
-435.6939,921,819905,0.05,2176.33,372,889,0.0001,192476,0.03744226321578026
-435.15279999999984,931,828484,0.05,2175.77,376,889,0.0001,194620,0.072541743516922
-434.0952999999999,942,837305,0.05,2175.1,380,888,0.0001,196826,0.06460615247488022
-432.4594,952,845820,0.05,2171.74,384,888,0.0001,198954,0.05148056894540787
-430.5961999999999,962,854495,0.05,2171.26,388,887,0.0001,201123,0.04104058817028999
-429.69089999999994,973,863138,0.05,2171.17,392,886,0.0001,203284,0.049206338822841644
-428.46840000000003,983,871680,0.05,2169.97,396,886,0.0001,205419,0.03670834004878998
-427.0269,994,880380,0.05,2168.23,400,885,0.0001,207594,0.06149310991168022
-425.6752,1004,889156,0.05,2168.5,404,885,0.0001,209788,0.058947544544935226
-423.6562000000001,1015,897688,0.05,2167.35,408,884,0.0001,211921,0.04804962873458862
-422.3226,1026,906340,0.05,2167.13,412,883,0.0001,214084,0.03982103615999222
-420.83299999999997,1036,914911,0.05,2165.16,416,882,0.0001,216227,0.06306671351194382
-419.81190000000004,1047,923701,0.05,2166.69,420,882,0.0001,218425,0.3686433732509613
-418.05580000000003,1057,932360,0.05,2166.11,424,881,0.0001,220589,0.04276920109987259
-416.70289999999994,1067,940936,0.05,2165.82,428,881,0.0001,222733,0.055508680641651154
-415.6146,1078,949676,0.05,2167.0,432,880,0.0001,224918,0.04055602848529816
-414.46439999999996,1088,958278,0.05,2165.55,436,880,0.0001,227069,0.05043385550379753
-413.26149999999996,1099,966897,0.05,2163.69,440,879,0.0001,229224,0.04870649427175522
